document_ID,firm_ID,time_of_earning_call
742.F,AIZ,2021 Q4
743.F,AIZ,2022 Q1
744.F,AIZ,2022 Q2
745.F,AIZ,2022 Q3
746.F,AIZ,2022 Q4
747.F,AIZ,2023 Q1
748.F,AIZ,2023 Q2
749.F,AIZ,2023 Q3
750.F,AIZ,2023 Q4
751.F,AJG,2013 Q1
752.F,AJG,2013 Q2
753.F,AJG,2013 Q3
754.F,AJG,2013 Q4
755.F,AJG,2014 Q2
756.F,AJG,2014 Q3
757.F,AJG,2014 Q4
758.F,AJG,2015 Q1
759.F,AJG,2015 Q2
760.F,AJG,2015 Q3
761.F,AJG,2015 Q4
762.F,AJG,2016 Q1
763.F,AJG,2016 Q2
764.F,AJG,2016 Q3
765.F,AJG,2016 Q4
766.F,AJG,2017 Q1
767.F,AJG,2017 Q2
768.F,AJG,2017 Q3
769.F,AJG,2017 Q4
770.F,AJG,2018 Q1
771.F,AJG,2018 Q2
772.F,AJG,2018 Q3
773.F,AJG,2018 Q4
774.F,AJG,2019 Q1
775.F,AJG,2019 Q2
776.F,AJG,2019 Q3
777.F,AJG,2019 Q4
778.F,AJG,2020 Q1
779.F,AJG,2020 Q3
780.F,AJG,2020 Q4
781.F,AJG,2021 Q1
782.F,AJG,2021 Q2
783.F,AJG,2021 Q3
784.F,AJG,2021 Q4
785.F,AJG,2022 Q1
786.F,AJG,2022 Q2
787.F,AJG,2022 Q3
788.F,AJG,2022 Q4
789.F,AJG,2023 Q1
790.F,AJG,2023 Q2
791.F,AJG,2023 Q3
792.F,AJG,2023 Q4
793.F,AKAM,2013 Q1
794.F,AKAM,2013 Q2
795.F,AKAM,2013 Q3
796.F,AKAM,2013 Q4
797.F,AKAM,2014 Q1
798.F,AKAM,2014 Q2
799.F,AKAM,2014 Q3
800.F,AKAM,2014 Q4
801.F,AKAM,2015 Q1
802.F,AKAM,2015 Q2
803.F,AKAM,2015 Q3
804.F,AKAM,2015 Q4
805.F,AKAM,2016 Q1
806.F,AKAM,2016 Q2
807.F,AKAM,2016 Q3
808.F,AKAM,2016 Q4
809.F,AKAM,2017 Q1
810.F,AKAM,2017 Q2
811.F,AKAM,2017 Q3
812.F,AKAM,2017 Q4
813.F,AKAM,2018 Q1
814.F,AKAM,2018 Q2
815.F,AKAM,2018 Q3
816.F,AKAM,2018 Q4
817.F,AKAM,2019 Q1
818.F,AKAM,2019 Q2
819.F,AKAM,2019 Q3
820.F,AKAM,2019 Q4
821.F,AKAM,2020 Q1
822.F,AKAM,2020 Q2
823.F,AKAM,2020 Q3
824.F,AKAM,2020 Q4
825.F,AKAM,2021 Q1
826.F,AKAM,2021 Q2
827.F,AKAM,2021 Q3
828.F,AKAM,2021 Q4
829.F,AKAM,2022 Q1
830.F,AKAM,2022 Q2
831.F,AKAM,2022 Q3
832.F,AKAM,2022 Q4
833.F,AKAM,2023 Q1
834.F,AKAM,2023 Q2
835.F,AKAM,2023 Q3
836.F,AKAM,2023 Q4
837.F,ALB,2013 Q1
838.F,ALB,2013 Q2
839.F,ALB,2013 Q3
840.F,ALB,2013 Q4
841.F,ALB,2014 Q1
842.F,ALB,2014 Q2
843.F,ALB,2014 Q3
844.F,ALB,2014 Q4
845.F,ALB,2015 Q1
846.F,ALB,2015 Q2
847.F,ALB,2015 Q3
848.F,ALB,2015 Q4
849.F,ALB,2016 Q1
850.F,ALB,2016 Q2
851.F,ALB,2016 Q3
852.F,ALB,2016 Q4
853.F,ALB,2017 Q1
854.F,ALB,2017 Q2
855.F,ALB,2017 Q3
856.F,ALB,2017 Q4
857.F,ALB,2018 Q1
858.F,ALB,2018 Q2
859.F,ALB,2018 Q3
860.F,ALB,2018 Q4
861.F,ALB,2019 Q1
862.F,ALB,2019 Q2
863.F,ALB,2019 Q3
864.F,ALB,2019 Q4
865.F,ALB,2020 Q1
866.F,ALB,2020 Q2
867.F,ALB,2020 Q3
868.F,ALB,2020 Q4
869.F,ALB,2021 Q1
870.F,ALB,2021 Q2
871.F,ALB,2021 Q3
872.F,ALB,2021 Q4
873.F,ALB,2022 Q1
874.F,ALB,2022 Q2
875.F,ALB,2022 Q3
876.F,ALB,2022 Q4
877.F,ALB,2023 Q1
878.F,ALB,2023 Q2
879.F,ALB,2023 Q3
880.F,ALB,2023 Q4
881.F,ALGN,2013 Q1
882.F,ALGN,2013 Q2
883.F,ALGN,2013 Q3
884.F,ALGN,2013 Q4
885.F,ALGN,2014 Q1
886.F,ALGN,2014 Q2
887.F,ALGN,2014 Q3
888.F,ALGN,2014 Q4
889.F,ALGN,2015 Q1
890.F,ALGN,2015 Q2
891.F,ALGN,2015 Q3
892.F,ALGN,2015 Q4
893.F,ALGN,2016 Q1
894.F,ALGN,2016 Q2
895.F,ALGN,2016 Q3
896.F,ALGN,2016 Q4
